pmid,pmcid,title,platform_mentioned,cga_strong,cga_general,cga_example,assembly_strong,assembly_general,assembly_example,annotation_strong,annotation_general,annotation_example,sgf_strong,sgf_general,sgf_example,proteome_cmp_strong,proteome_cmp_general,proteome_cmp_example,variation_strong,variation_general,variation_example,metagenomics_strong,metagenomics_general,metagenomics_example,rnaseq_strong,rnaseq_general,rnaseq_example,phylo_strong,phylo_general,phylo_example,crispr_strong,crispr_general,crispr_example,subsystems_strong,subsystems_general,subsystems_example,specialty_genes_strong,specialty_genes_general,specialty_genes_example,amr_strong,amr_general,amr_example,taxclass_strong,taxclass_general,taxclass_example,docking_strong,docking_general,docking_example,pfs_strong,pfs_general,pfs_example,pathway_strong,pathway_general,pathway_example,p3tools_strong,p3tools_general,p3tools_example,blast_strong,blast_general,blast_example,primer_design_strong,primer_design_general,primer_design_example,genome_alignment_strong,genome_alignment_general,genome_alignment_example,tnseq_strong,tnseq_general,tnseq_example,bact_genome_tree_strong,bact_genome_tree_general,bact_genome_tree_example,viral_genome_tree_strong,viral_genome_tree_general,viral_genome_tree_example,cgmlst_strong,cgmlst_general,cgmlst_example,wg_snp_strong,wg_snp_general,wg_snp_example,msa_snp_strong,msa_snp_general,msa_snp_example,metacats_strong,metacats_general,metacats_example,protein_structure_strong,protein_structure_general,protein_structure_example,protein_stability_strong,protein_stability_general,protein_stability_example,comparative_systems_strong,comparative_systems_general,comparative_systems_example,mobile_element_strong,mobile_element_general,mobile_element_example,expression_import_strong,expression_import_general,expression_import_example,fastq_utils_strong,fastq_utils_general,fastq_utils_example,id_mapper_strong,id_mapper_general,id_mapper_example,sarscov2_genome_strong,sarscov2_genome_general,sarscov2_genome_example,sarscov2_wastewater_strong,sarscov2_wastewater_general,sarscov2_wastewater_example,flu_submission_strong,flu_submission_general,flu_submission_example,flu_ha_subtype_strong,flu_ha_subtype_general,flu_ha_subtype_example,flu_reassortment_strong,flu_reassortment_general,flu_reassortment_example,subspecies_strong,subspecies_general,subspecies_example,viral_assembly_strong,viral_assembly_general,viral_assembly_example,outbreak_tracker_strong,outbreak_tracker_general,outbreak_tracker_example
42522025,PMC13417854,Efficacy of phage vB_EcoP_ZCEC16 in controlling Escherichia coli contamination in fresh poultry meat,True,0,0,,0,2,Genome assembly and processing The quality of the sequence reads was checked using Fastq Utilities and de novo assembled using the Unicycler v.0.4.8 on BVBRC platform.,1,0,Genome annotation and safety evaluation Automated annotation was performed by using a customized RASTtk pipeline.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,0,A second functional annotation round was manually conducted based on the phage proteins homologs by using BLASTp and HHpred.,0,0,,0,1,coli in vaccinated flocks Phylogenetic characterization of avian pathogenic Escherichia coli strains longitudinally isolated from broiler breeder flocks vaccinated with autogenous vaccine Intestine and environment of the chicken as reservoirs for extraintestinal pathogenic Escherichia coli strains w,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,Genome assembly and processing The quality of the sequence reads was checked using Fastq Utilities and de novo assembled using the Unicycler v.0.4.8 on BVBRC platform.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42471458,PMC13380610,"Advancing FAIR data towards comparable, organized, predictive AI-ready data for community validation",True,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42469629,PMC13377704,"Isolation, characterization, and genomic analysis of a novel lytic bacteriophage with potent antibiofilm activity against multidrug-resistant Acinetobacter baumannii",True,1,0,Multiple antibiotic resistance indexing of Escherichia coli to identify high-risk sources of fecal contamination of foods Enumeration of bacteriophages by double agar overlay plaque assay Bacteriophage enrichment from water and soil Working with bacteriophages: common techniques and methodological a,0,1,"The reads were de novo assembled by Unicycler (v0.5.0), implemented within the BV-BRC portal.",1,1,Genome analysis and annotation The assembled phage genome was annotated by the RASTtk pipeline with a customized workflow that began with initial annotation via annotate-proteins-phage ⁠ followed by annotate-proteins-kmer-v2 and tRNAscan-SE (v2.0) to identify tRNA genes.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,Multiple antibiotic resistance indexing of Escherichia coli to identify high-risk sources of fecal contamination of foods Enumeration of bacteriophages by double agar overlay plaque assay Bacteriophage enrichment from water and soil Working with bacteriophages: common techniques and methodological a,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,3,0,"For functional confirmation, an annotation was performed using NCBI BLASTp against the non-redundant proteins databases, HHPred for remote homology detection, InterProScan for domain prediction and UniProt for manual curation.",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42423752,PMC13350155,"Moraxella tarda sp. nov., a Novel Species Isolated from Nasal Cavity of Cattle with Infectious Bovine Keratoconjunctivitis",True,0,0,,0,0,,1,1,"3.32.13a platform, which provides standardized structural and functional annotation via the RASTtk tool for bacterial genomes.",0,0,,0,0,,0,0,,0,0,,0,0,,0,1,"Leaf labels include affiliation to species and subspecies clusters, genomic G + C content (41.05–66.56%), δ statistics values (0.296–0.417), genome size (1,858,111–6,264,404 bp), number of predicted proteins (1,683–5,681), SSU rRNA gene lengths (1,321–1,615 bp), and strain status (type strain, type ",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,"These genomes were compared by the following methods: (I) average nucleotide identities (ANIs) estimated between each pair of genomes using the FastANI v.1.34, implemented through the enveomics collection with relaxed fragment fraction (minFraction = 0.1); (II) 16 S rRNA sequence-based and whole gen",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42410641,PMC13339394,"Characterization of a novel gene, Lsa(F), conferring resistance to pleuromutilins, lincosamides and streptogramin A in Streptococcus parasuis",True,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,A core‑genome‑based phylogenetic tree was constructed using the Bacteria Genome Tree tool available on the Bacterial and Viral Bioinformatics Resource Center (BV-BRC) website.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,Amino acid sequence identities between Lsa(F) and known Lsa variants were determined via BLASTP alignment.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42347867,PMC13303436,Genomic Analysis of Gut Bacteria in Tecia Solanivora: Insights into Host Functions and Their Potential in Biocontrol,True,0,0,,0,1,The filtered reads were assembled using fullSPAdes genome assembler v3.10.0 with default parameters on the BV-BRC platform v3.28.21.,2,1,"As a complementary method, near full-length 16S rDNA gene sequences were extracted from the assembled draft genomes using the annotation data from the RASTtk pipeline on the BV-BRC platform v3.54.6.",0,0,,0,0,,0,0,,0,0,,0,0,,1,1,Phylogenomic relationships among the strains were inferred using the Codon Tree pipeline implemented in the BV-BRC Phylogenetic Tree Service.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,This approach constructs bacterial phylogenies from concatenated amino acid and nucleotide sequences derived from a randomly selected subset of the BV-BRC Global Protein Families (PGFams).,0,0,,0,0,,1,0,"The tool employs tRNAscan-SE to identify tRNA genes and BLASTN to detect repeat regions, with CDS being predicted using Prodigal and Glimmer.",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42304079,PMC13323066,Enteropathy produced in mice by intergenerational transmission of small intestinal microbiota from undernourished children,True,0,0,,0,1,in patients with chronic periodontitis Binary metabolic phenotypes and phenotype diversity metrics for the functional characterization of microbial communities The impact of a consortium of fermented milk strains on the gut microbiome of gnotobiotic mice and monozygotic twins Neutrophil infiltration,0,1,in patients with chronic periodontitis Binary metabolic phenotypes and phenotype diversity metrics for the functional characterization of microbial communities The impact of a consortium of fermented milk strains on the gut microbiome of gnotobiotic mice and monozygotic twins Neutrophil infiltration,0,0,,0,0,,0,0,,0,0,,0,1,in patients with chronic periodontitis Binary metabolic phenotypes and phenotype diversity metrics for the functional characterization of microbial communities The impact of a consortium of fermented milk strains on the gut microbiome of gnotobiotic mice and monozygotic twins Neutrophil infiltration,2,1,Phylogenetic trees of MAGs and closely related reference genomes were generated using the Phylogenetic Tree Building service available from the Bacterial and Viral Bioinformatics Resource Center (BV-BRC).,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42286247,PMC13322967,Genome-scale metabolic modelling identifies vaginal microbiome members as potential probiotics,True,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,"Reaction and subsystem analysis We identified reactions that were unique to pathogen, probiotic and other host-associated bacterial species through model analysis and visualized these data using an upset plot (Fig.",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42237234,PMC13231603,WGS reveals high-risk clones of Pseudomonas aeruginosa harbouring extensive antimicrobial and predicted anti-phage defense systems recovered from diabetic foot ulcer patients in Egypt,True,0,0,,0,2,High-quality reads were assembled de novo through the BV-BRC (https://www.bv-brc.org/) assembly service.,0,1,"nov., isolated from wild Drosophila melanogaster Genomic epidemiology and molecular characteristics of blaNDM-1-positive carbapenem-resistant Pseudomonas aeruginosa belonging to international high-risk clone ST773 in the Gauteng region, South Africa Molecular aspects of the functioning of pathogenic",0,0,,0,0,,0,0,,0,0,,0,0,,1,1,aeruginosa genomes was generated using BV-BRC’s Codon Tree workflow.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,1,0,BLASTn searches against curated 16S rRNA databases were carried out.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,"nov., isolated from wild Drosophila melanogaster Genomic epidemiology and molecular characteristics of blaNDM-1-positive carbapenem-resistant Pseudomonas aeruginosa belonging to international high-risk clone ST773 in the Gauteng region, South Africa Molecular aspects of the functioning of pathogenic",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
42222669,PMC13221980,Transformer-based operon prediction using textual representations of gene pairs,True,0,0,,0,0,,0,2,2.3 Dataset construction We constructed a labeled dataset of adjacent gene pairs for operon prediction using annotated bacterial genomes from the BV-BRC database using the genome identifiers listed in Table 1.,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,1,"Protein families were assigned using PGFAMs, a hierarchical system of protein family identifiers developed as part of the PATRIC and BV-BRC annotation pipelines.",0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,
