PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"36350631","Introducing the Bacterial and Viral Bioinformatics Resource Center (BV-BRC): a resource combining PATRIC, IRD and ViPR","Olson RD, Assaf R, Brettin T, Conrad N, Cucinell C, Davis JJ, Dempsey DM, Dickerman A, Dietrich EM, Kenyon RW, Kuscuoglu M, Lefkowitz EJ, Lu J, Machi D, Macken C, Mao C, Niewiadomska A, Nguyen M, Olsen GJ, Overbeek JC, Parrello B, Parrello V, Porter JS, Pusch GD, Shukla M, Singh I, Stewart L, Tan G, Thomas C, VanOeffelen M, Vonstein V, Wallace ZS, Warren AS, Wattam AR, Xia F, Yoo H, Zhang Y, Zmasek CM, Scheuermann RH, Stevens RL.","Nucleic Acids Res. 2023 Jan 6;51(D1):D678-D689. doi: 10.1093/nar/gkac1003.","Olson RD","Nucleic Acids Res","2023","2022/11/09","PMC9825582","","10.1093/nar/gkac1003"
"42584495","Genomic exploration of Serratia rubidaea MJ24 uncovers diverse biosynthetic capacity and agricultural relevance","Bhombal YN, Yeole SB, Barvkar VT, Pable AA.","Funct Integr Genomics. 2026 Aug 12;26(1):223. doi: 10.1007/s10142-026-02010-y.","Bhombal YN","Funct Integr Genomics","2026","2026/08/12","","","10.1007/s10142-026-02010-y"
"42563165","Microbially derived glutathione from Eubacterium rectale alleviates oxidative stress and promotes intestinal epithelial recovery","Richie TG, Wiechman H, Vogt B, Ingold C, Heeren L, Kamke A, Pogranichniy S, Monk K, Summers T, Ran Q, Sarkar S, Plattner BL, Sidebottom AM, Chang EB, Lee STM.","Microbiome. 2026 Aug 4;14(1):195. doi: 10.1186/s40168-026-02457-y.","Richie TG","Microbiome","2026","2026/08/07","PMC13445673","","10.1186/s40168-026-02457-y"
"42552315","Multidrug-resistant and virulence traits in genetically distinct vesicular Leptospira inhabiting farmland and sewage in Southern India","Sonam A, Hameed A, Stothard P, Grant JR, Tellis RC, Arun AB.","Sci Rep. 2026 Aug 4;16(1):24008. doi: 10.1038/s41598-026-36690-0.","Sonam A","Sci Rep","2026","2026/08/04","PMC13438097","","10.1038/s41598-026-36690-0"
"42527664","Lactococcus cremoris subsp. sagaensis subsp. nov., Isolated from Naturally Fermented Yogurt","Cheng L, Wang TX, Li CY, Man C, Gu CT.","Curr Microbiol. 2026 Jul 29;83(9):496. doi: 10.1007/s00284-026-05083-x.","Cheng L","Curr Microbiol","2026","2026/07/29","","","10.1007/s00284-026-05083-x"
"42522025","Efficacy of phage vB_EcoP_ZCEC16 in controlling Escherichia coli contamination in fresh poultry meat","Kamel AG, Hammouda ZK, Tarek S, Nassar Y, Elawsya EE, Osama A, Zaki BM, Gharaibeh M, Al-Hindi R, Habib I, El-Shibiny A.","BMC Microbiol. 2026 Jul 27;26(1):676. doi: 10.1186/s12866-026-05119-z.","Kamel AG","BMC Microbiol","2026","2026/07/28","PMC13417854","","10.1186/s12866-026-05119-z"
"42471458","Advancing FAIR data towards comparable, organized, predictive AI-ready data for community validation","Wood-Charlson EM, Åkerström WN, Anderson L, Borton MA, Burley SK, Byers N, Chandramouliswaran I, Costes SV, Dehal PS, Doktycz M, Eloe-Fadrosh E, Henry C, Fagnan K, Fiehn O, Halappanavar M, Hurwitz B, Joachimiak MP, Jungbluth S, Koblitz J, Mahmud G, McCue LA, Metz TO, Mouncey N, Mungall CJ, Nelson TM, Skye V, Saravia-Butler AM, Saripalli VR, Tringe SG, Van Den Bossche T, Arkin AP.","Commun Biol. 2026 Jul 18;9(1):983. doi: 10.1038/s42003-026-10694-y.","Wood-Charlson EM","Commun Biol","2026","2026/07/18","PMC13380610","","10.1038/s42003-026-10694-y"
"42469629","Isolation, characterization, and genomic analysis of a novel lytic bacteriophage with potent antibiofilm activity against multidrug-resistant Acinetobacter baumannii","M Amin E, Aziz RK, Murad FE, Elrakaiby MT, Samir R.","BMC Microbiol. 2026 Jul 17;26(1):648. doi: 10.1186/s12866-026-05262-7.","M Amin E","BMC Microbiol","2026","2026/07/17","PMC13377704","","10.1186/s12866-026-05262-7"
"42423752","Moraxella tarda sp. nov., a Novel Species Isolated from Nasal Cavity of Cattle with Infectious Bovine Keratoconjunctivitis","Domingues R, de Carvalho CV, de Lima Reis Faza DR, Comin HB, Verbisck NV, de Castro Nassar AF, Carvalho WA, Cardoso FF, Machado ABF, Martins MF, Gaspar EB.","Curr Microbiol. 2026 Jul 9;83(9):467. doi: 10.1007/s00284-026-05050-6.","Domingues R","Curr Microbiol","2026","2026/07/09","PMC13350155","","10.1007/s00284-026-05050-6"
"42423731","Genomic and phenotypic insights into the probiotic and antimicrobial potential of Bacillus amyloliquefaciens BCSIR-AJ strain from garlic chutney","Ayaz M, Sarkar MMH, Islam MM, Islam MI, Koly FA, Hasan MR, Hossain MS, Islam S.","Arch Microbiol. 2026 Jul 9;208(9):472. doi: 10.1007/s00203-026-04993-5.","Ayaz M","Arch Microbiol","2026","2026/07/09","","","10.1007/s00203-026-04993-5"
"42410641","Characterization of a novel gene, Lsa(F), conferring resistance to pleuromutilins, lincosamides and streptogramin A in Streptococcus parasuis","Dai X, Mayama PM, Liu X, Gao X, Xu J, Wang X, Huang J, Wu Z, Saila-Ngita D, Wang L.","Vet Res. 2026 Jul 7;57(1):122. doi: 10.1186/s13567-026-01784-0.","Dai X","Vet Res","2026","2026/07/07","PMC13339394","","10.1186/s13567-026-01784-0"
"42347867","Genomic Analysis of Gut Bacteria in Tecia Solanivora: Insights into Host Functions and Their Potential in Biocontrol","Pantoja L, Manotas-Viloria HS, Vanegas J.","Curr Microbiol. 2026 Jun 25;83(8):454. doi: 10.1007/s00284-026-04929-8.","Pantoja L","Curr Microbiol","2026","2026/06/25","PMC13303436","","10.1007/s00284-026-04929-8"
"42304079","Enteropathy produced in mice by intergenerational transmission of small intestinal microbiota from undernourished children","Pruss KM, Kao C, Byrne AE, Chen RY, Di Luccia B, Karvelyte L, Coskun R, Lemieux M, Nepal K, Webber DM, Hibberd MC, Wang Y, Liu H, Rodionov DA, Osterman AL, Colonna M, Maueroder C, Ravichandran K, Barratt MJ, Ahmed T, Gordon JI.","Nat Microbiol. 2026 Jul;11(7):1967-1981. doi: 10.1038/s41564-026-02394-4. Epub 2026 Jun 16.","Pruss KM","Nat Microbiol","2026","2026/06/16","PMC13323066","","10.1038/s41564-026-02394-4"
"42301562","Phenotypic and genomic characterization of lead tolerance and Pb(II) removal by Klebsiella pneumoniae ST86 EP-L-21","Kala VDP, Tripathi AR, Chavan KJ, Ghorpade RP, Nayak SS.","Folia Microbiol (Praha). 2026 Jun 16. doi: 10.1007/s12223-026-01528-9. Online ahead of print.","Kala VDP","Folia Microbiol (Praha)","2026","2026/06/16","","","10.1007/s12223-026-01528-9"
"42286247","Genome-scale metabolic modelling identifies vaginal microbiome members as potential probiotics","Glass EM, Kolling GL, Papin JA.","Nat Microbiol. 2026 Jul;11(7):2034-2046. doi: 10.1038/s41564-026-02380-w. Epub 2026 Jun 12.","Glass EM","Nat Microbiol","2026","2026/06/12","PMC13322967","","10.1038/s41564-026-02380-w"
"42237234","WGS reveals high-risk clones of Pseudomonas aeruginosa harbouring extensive antimicrobial and predicted anti-phage defense systems recovered from diabetic foot ulcer patients in Egypt","Amer MA, Darwish MM, Monir R, Al Taweel A, Ghanem AI, Hanna IN, Hefnawy AH, Gebreel NS, Soltan NM, Aboudewan YH, Hamed SM.","BMC Microbiol. 2026 Jun 3;26(1):524. doi: 10.1186/s12866-026-05145-x.","Amer MA","BMC Microbiol","2026","2026/06/04","PMC13231603","","10.1186/s12866-026-05145-x"
"42230754","15-strain live biotherapeutic product or same donor fecal microbiota transplant for recurrent Clostridioides difficile infection: a randomized phase 1b trial","Bethlehem L, Bartu L, Marke G, Mar P, Feldman S, Eggers J, Ruprecht C, Britton GJ, Aggarwala V, Bongers G, Li Z, Yang N, Hohmann EL, Mogno I, Faith JJ, Grinspan A.","Nat Med. 2026 Jul;32(7):2546-2555. doi: 10.1038/s41591-026-04442-2. Epub 2026 Jun 2.","Bethlehem L","Nat Med","2026","2026/06/02","PMC13444918","NIHMS2197595","10.1038/s41591-026-04442-2"
"42222669","Transformer-based operon prediction using textual representations of gene pairs","Assaf R, Fakhri B.","Bioinform Adv. 2026 May 21;6(1):vbag140. doi: 10.1093/bioadv/vbag140. eCollection 2026.","Assaf R","Bioinform Adv","2026","2026/06/01","PMC13221980","","10.1093/bioadv/vbag140"
"42200046","Dataset of genomic sequences and annotation of Bacillus cereus Spbamp1 isolated from metal-impacted soil in Querétaro, México","Albores MEC, Navarro MPM, De León KIL, Gutiérrez DGG, López MÁR, Zavala-Gómez CE, Morales JAR, Hidalgo EÁ, Guillén JC.","Data Brief. 2026 May 14;66:112853. doi: 10.1016/j.dib.2026.112853. eCollection 2026 Jun.","Albores MEC","Data Brief","2026","2026/05/27","PMC13199646","","10.1016/j.dib.2026.112853"
"42197481","Whole-Genome Sequencing and Genomic Characterization of a Multi-Drug Resistant Phenotype of Listeria monocytogenes Isolated from Pet Food","Mataragka A, Mataragas M, Tzimotoudis N, Galiatsatos I, Stathopoulou P, Paramithiotis S, Ikonomopoulos J, Andritsos ND.","Microorganisms. 2026 May 12;14(5):1097. doi: 10.3390/microorganisms14051097.","Mataragka A","Microorganisms","2026","2026/05/27","PMC13209999","","10.3390/microorganisms14051097"
"42192425","Phenotypic and genotypic characterization of antimicrobial resistance in coagulase-negative staphylococci from bone lesions in broiler chickens","Szafraniec GM, Chrobak-Chmiel D, Adamczyk K, Sułecki K, Dolka B.","BMC Vet Res. 2026 May 26;22(1):435. doi: 10.1186/s12917-026-05584-8.","Szafraniec GM","BMC Vet Res","2026","2026/05/27","PMC13393699","","10.1186/s12917-026-05584-8"
"42192310","Comparative genomics of Sneathia species: insights into pathogenicity and adaptation to the human niche","Łaniewski P, Jimenez NR, Hurwitz BL, Herbst-Kralovetz MM.","BMC Microbiol. 2026 May 27;26(1):657. doi: 10.1186/s12866-026-05201-6.","Łaniewski P","BMC Microbiol","2026","2026/05/27","PMC13393775","","10.1186/s12866-026-05201-6"
"42165977","A comprehensive study on Salmonella enterica serovar Richmond in farmed fish Pangasianodon hypophthalmus: insights into zoonotic potential, virulence and antimicrobial resistance","Parida SN, Tripathy PS, Kumar N, Tyagi A, Rout AK, Kumar G, Parhi J, Behera BK, Pandey PK.","Folia Microbiol (Praha). 2026 Jun;71(3):657-670. doi: 10.1007/s12223-026-01467-5. Epub 2026 May 21.","Parida SN","Folia Microbiol (Praha)","2026","2026/05/21","","","10.1007/s12223-026-01467-5"
"42160400","Characterization of a novel cell wall-associated nucleotidase of Enterococcus faecalis that degrades extracellular c-di-AMP","Morales Rivera AG, Bala A, Casella LG, Brunson DN, Wongso E, Patel A, Cuvilly IE, Walker AR, Wallet SM, Flores-Mireles AL, Lemos JA.","PLoS Pathog. 2026 May 20;22(5):e1014206. doi: 10.1371/journal.ppat.1014206. eCollection 2026 May.","Morales Rivera AG","PLoS Pathog","2026","2026/05/20","PMC13229355","","10.1371/journal.ppat.1014206"
"42160385","Environmental redox conditions and strain variation define phenazine-mediated antagonism in co-infecting bacteria","Todd K, Schneider O, Lawrence JM, Aronoff JL, Witek B, Velázquez-Colón V, Santana-Ufret V, Anderson NL, Gunter K, Noda M, Relich RF, Zeng L, Limoli DH, Whidbey C, Vornhagen J.","PLoS Biol. 2026 May 20;24(5):e3003809. doi: 10.1371/journal.pbio.3003809. eCollection 2026 May.","Todd K","PLoS Biol","2026","2026/05/20","PMC13197074","","10.1371/journal.pbio.3003809"
"42156412","High-quality draft genome of the Listeria monocytogenes, one more vaccine strain against livestock listeriosis","Feodorova VA, Lavrukhin MS, Zaitsev SS, Zaberezhny A, Larionova OS.","Sci Data. 2026 May 19;13(1):1147. doi: 10.1038/s41597-026-07462-2.","Feodorova VA","Sci Data","2026","2026/05/19","PMC13451304","","10.1038/s41597-026-07462-2"
"42153318","Decoding extremophiles: insights from bioinformatics, machine learning, and data-driven approaches","Chasapi MN, Kontis N, Lehmann R, Tasneem R, Patel NS, Khan SA, Martínez de Morentin X, Chasapi IN, Aplakidou E, Galaras A, Aldakheel L, Su M, Baltoumas FA, Venkateswaran K, Lagani V, Gómez-Cabrero D, Tegnér J, Pavlopoulos GA, Soares Rosado A.","Brief Bioinform. 2026 May 4;27(3):bbag236. doi: 10.1093/bib/bbag236.","Chasapi MN","Brief Bioinform","2026","2026/05/19","PMC13253578","","10.1093/bib/bbag236"
"42143256","Draft genome sequencing of Proteus mirabilis strain Indica (ST286) reveals antimicrobial resistance and virulence determinants","Acharya S, Kushwaha P, Desai S, Biswas S, Longjam LA, Chatterjee B, Ruwali M, De S, Krishnaswamy L, Suravajhala P, Chaubey G.","BMC Microbiol. 2026 May 16;26(1):606. doi: 10.1186/s12866-026-05127-z.","Acharya S","BMC Microbiol","2026","2026/05/16","PMC13348184","","10.1186/s12866-026-05127-z"
